Possible ChatGBT prompt to use: please convert the data into forms like:

9,3,1
9,4,2
9,5,3
...
first number is month, second number is day, last number is 1/2/3/4/H/PD, H for holiday, PD for PD day. I want nothing else. Be smart, if you see september, the month is 9. If you see something like September
5 - Day 1, that row should be 9,5,1

/INSERT DATA AFTER THIS LINE/
9,3,1
9,4,2
9,5,3
9,6,4
9,9,1
9,10,2
9,11,3
9,12,4
9,13,1
9,16,2
9,17,3
9,18,4
9,19,1
9,20,2
9,23,3
9,24,4
9,25,1
9,26,2
9,27,PD
9,30,3
10,1,4
10,2,1
10,3,2
10,4,3
10,7,4
10,8,1
10,9,2
10,10,3
10,11,4
10,14,H
10,15,1
10,16,2
10,17,3
10,18,4
10,21,1
10,22,2
10,23,3
10,24,4
10,25,1
10,28,2
10,29,3
10,30,4
10,31,1
11,1,2
11,4,3
11,5,4
11,6,1
11,7,2
11,8,3
11,11,4
11,12,1
11,13,2
11,14,3
11,15,4
11,18,1
11,19,2
11,20,3
11,21,4
11,22,1
11,25,2
11,26,3
11,27,4
11,28,1
11,29,PD
12,2,2
12,3,3
12,4,4
12,5,1
12,6,2
12,9,3
12,10,4
12,11,1
12,12,2
12,13,3
12,16,4
12,17,1
12,18,2
12,19,3
12,20,4
12,23,H
12,24,H
12,25,H
12,26,H
12,27,H
12,30,H
12,31,H
1,1,H
1,2,H
1,3,H
1,6,1
1,7,2
1,8,3
1,9,4
1,10,1
1,13,2
1,14,3
1,15,4
1,16,1
1,17,2
1,20,3
1,21,4
1,22,1
1,23,2
1,24,3
1,27,4
1,28,1
1,29,2
1,30,3
1,31,PD
2,3,4
2,4,1
2,5,2
2,6,3
2,7,4
2,10,1
2,11,2
2,12,3
2,13,4
2,14,PD
2,17,H
2,18,1
2,19,2
2,20,3
2,21,4
2,24,1
2,25,2
2,26,3
2,27,4
2,28,1
3,3,2
3,4,3
3,5,4
3,6,1
3,7,2
3,10,H
3,11,H
3,12,H
3,13,H
3,14,H
3,17,1
3,18,2
3,19,3
3,20,4
3,21,1
3,24,2
3,25,3
3,26,4
3,27,1
3,28,2
3,31,3
4,1,4
4,2,1
4,3,2
4,4,3
4,7,4
4,8,1
4,9,2
4,10,3
4,11,4
4,14,1
4,15,2
4,16,3
4,17,4
4,18,H
4,21,H
4,22,1
4,23,2
4,24,3
4,25,4
4,28,1
4,29,2
4,30,3
5,1,4
5,2,1
5,5,2
5,6,3
5,7,4
5,8,1
5,9,2
5,12,3
5,13,4
5,14,1
5,15,2
5,16,3
5,19,H
5,20,4
5,21,1
5,22,2
5,23,3
5,26,4
5,27,2
5,28,3
5,29,4
5,30,1
5,31,2
6,3,3
6,4,4
6,5,1
6,6,2
6,7,3
6,10,4
6,11,1
